项目名称,项目简介,主要产品,业主方,所在地,行业,大类
“西部慧谷”集中供热及热网规划项目厂区工程,"['“西部慧谷”集中供热及热网规划项目位于陕西省西安市长安区西安航天科技产业基地，分热网工程和厂区工程两部分。', '该工程为其中的厂区部分，建设内容包括主厂房、调度中心、干煤棚、输煤皮带廊、120米高烟囱，总建筑面积2.865万平方米。', '工程总投资1.6亿元。']",总建筑面积2.865万平方米。,['西安热电供热有限公司'],陕西省西安市长安区西安航天科技产业基地,建筑,建筑
天可汗商业城项目,"['该项目位于陕西省西安市顺城北路以南，东八路以北，尚勤路以西，尚俭路以东，为新建商业城，建筑层数地上2-4层，地下2层，占地面积21.46亩，总建筑面积3.114万平方米，地上建筑面积1.43万平方米，地下建筑面积1.714万平方米，容积率地上1.0 ，地下1.2，建筑密度40％。', '项目总投资1.7亿元，其中征地拆迁7500万元，配套建设9500万元。项目建设周期2年。']",总建筑面积3.114万平方米。,['西安市新城区外经贸局'],陕西省西安市顺城北路,建筑,建筑
年产3万吨1，4－丁二醇项目,"['该项目已被列入当地政府2007年重点建设项目，工程位于陕西省渭南市华县赤水镇赤水村， 由陕西陕化化肥股份有限责任公司投资建设，项目采用炔醛法工艺技术，以公司现有的甲醇、氢气等为原料，年产1，4－丁二醇3万吨。', '项目总投资5亿元。']",年产1，4－丁二醇3万吨。,['陕西陕化化肥股份有限责任公司'],陕西省渭南市,化工医药,化工医药
10万吨电锌技改扩建项目,"['该项目位于陕西省商洛市商州区沙河子镇，由陕西锌业有限公司商洛炼锌厂投资建设，主要建设内容是在现年产3万吨电锌生产线上采取环保节能和填平补齐方式进行技术改造(cbl)，综合回收有价金属，使电锌生产能力达到年产10万吨。', '项目总投资26089万元（其中设备投资9303万元）。']",年产电锌10万吨。,['陕西锌业有限公司商洛炼锌厂'],陕西省商洛市,"能源矿产,冶金",能源矿产
特高压电网建设用新型干式电抗器项目,[0],年产特高压电网建设用新型干式电抗器550千伏安。,[0],陕西省西安市高新技术产业开发区高新三路14号,机械电子,材料制造
红豆杉种植基地和紫杉醇加工项目,[0],建设1000亩红豆杉种苗繁育基地，6万亩红豆杉人工种植基地；建设一条年产35吨1%紫杉醇加工生产线，一条年产120公斤99.8%紫杉醇加工生产线及相关配套设施。,[0],陕西省商洛市柞水县,"农林水利,轻纺食品",其他
杨凌综合办公楼工程,"['该工程位于陕西省西安市杨凌示范区，为新建综合办公楼，共1栋，地上9层，地下1层，含车库，总建筑面积为2.1万平方米。', '工程总投资8000万元。']",总建筑面积为2.1万平方米。,['杨凌合和科技有限公司'],陕西省西安市杨凌示范区,建筑,建筑
中化益业甲醇制烯烃（二期）项目,"['该项目位于陕西省榆林市榆横煤化工区，由中国化学工程集团公司和香港益业投资（集团）有限公司合资建设。项目设计总规模为年产240万吨甲醇和80万吨甲醇制烯烃，总投资160亿元，计划分两期实施。', '该项目为二期工程，年产甲醇180万吨和80万吨烯烃。', '项目总投资134亿元。']",年产甲醇180万吨、烯烃80万吨。,['陕西中化益业能源投资有限公司'],陕西省榆林市,化工医药,化工医药
超高压（特高压）交、直流输电用电力电容器技改项目,"['该项目位于西安市经济开发区西安西电电力电容器有限责任公司新厂区内，主要建设内容是利用现有厂房和公用设施，引进全自动电容器卷绕机（含全自动耐压机）、全自动电容器真空干燥浸渍及油处理系统等21台（套）进口设备，新增数控箱壳成型机、芯子包绕机、仿型氩弧箱壳焊机、元件纸板衬垫加工机、耐压试验装置等共52台（套）国产设备，满足±800千伏直流输电和1000千伏交流输电线路需要，达到年新增全膜高压电容器200万的生产能力。', '项目总投资16686万元。']",年新增全膜高压电容器200万。,['西安电力机械制造公司西安西电电力电容器有限责任公司'],陕西省西安市经济开发区,机械电子,材料制造
西安利君制药增资建设现代口服液等项目,"['该项目位于陕西省西安市，由西安利君制药有限公司投资建设，项目主要进行现代口服液、现代软胶囊、红霉素结晶、冻干粉针、阿奇霉素原料药研发、生产及新药开发中心建设。', '项目总投资17132万元，其中固定资产投资14132万元，铺底流动资金3000万元。固定资产投资包括建筑安装工程费用4682万元、设备仪器购置7867万元，其他费用1583万元。所需资金全部由企业自筹。']",主要进行现代口服液、现代软胶囊、红霉素结晶、冻干粉针、阿奇霉素原料药研发、生产及新药开发中心建设。,['西安利君制药有限责任公司'],陕西省西安市,化工医药,化工医药
大唐宝鸡热电厂项目,"['该工程是陕西省宝鸡市城市集中供热的基础配套支撑项目，争取列入国家近期电力项目开工计划，厂址位于陕西省宝鸡市陈仓区千河镇的宋家庄，距城市中心约12公里，距陈仓区约7公里，工程拟建设2×300兆瓦国产亚临界抽汽供热燃煤发电机组，配2×1025吨/时亚临界自然循环汽包锅炉，同步建设烟气脱硫装置。工程燃煤由甘肃华亭煤业集团供给，铁路运输至厂内煤场，运输距离约150公里，铁路专用线长约4.5公里，脱硫用石灰石由凤翔县红峰氧化钙矿业有限责任公司供应成品石灰石粉。工程采用带自然通风冷却塔的二次循环冷却供水系统，循环水及工业用水等夏季最大耗水量约1534立方米/时，水源为宝鸡市十里铺污水处理厂的中水。', '工程总投资29.6625亿元。']",建设2×300兆瓦国产亚临界抽汽供热燃煤发电机组，配2×1025吨/时亚临界自然循环汽包锅炉，同步建设烟气脱硫装置。,['大唐陕西发电有限公司'],陕西省宝鸡市陈仓区千河镇的宋家庄,"电力,环保",电力
延安市城市生活垃圾无害化处理项目,"['该项目位于陕西省延安市，新建城市生活垃圾卫生填埋场一座，总库容180万立方米，日处理生活垃圾370吨。主要建设内容有垃圾坝、拦洪坝、截洪沟、库区防渗、渗滤液收集系统、气体导排系统等垃圾填埋区工程，生产辅助工程和1公里进场道路等。', '项目总投资3750万元（不含征地费），建设资金除部分申请国家补助外，其余全部由延安市筹措解决。']",总库容180万立方米，日处理生活垃圾370吨。,['延安市环境卫生管理处'],陕西省延安市,"市政公用,环保",其他
大唐户县热电厂2×300兆瓦热电联产脱硫工程,"['大唐户县热电厂2×300兆瓦热电联产（改建）工程，拟在原有场地建设2×300兆瓦燃煤双抽供热机组，为户县城区提供工业用汽热负荷和集中供热采暖负荷，并为西安市城南区域提供集中供热采暖负荷，满足军工等企业用汽和户县、西安市城市发展对集中供热的需求。工程利用原有场地（灰场）、道路和城市中水；替代城市分散小锅炉。', '该项目为脱硫工程，对2×300兆瓦燃煤双抽供热机组进行烟气脱硫，并预留脱销位置。', '工程总投资1.3亿元。']",对2×300兆瓦燃煤双抽供热机组进行烟气脱硫。,['大唐户县热电厂'],陕西省西安市户县余下镇,"电力,环保",电力
大唐户县热电厂2×300兆瓦热电联产工程,"['该项目既大唐户县热电厂2×300兆瓦热电联产（改建）工程，拟在原有场地建设2×300兆瓦燃煤双抽供热机组，为户县城区提供工业用汽热负荷和集中供热采暖负荷，并为西安市城南区域提供集中供热采暖负荷，满足军工等企业用汽和户县、西安市城市发展对集中供热的需求。工程利用原有场地（灰场）、道路和城市中水；替代城市分散小锅炉。', '工程总投资25亿元。']",建设2×300兆瓦燃煤双抽供热机组。,['大唐户县热电厂'],陕西省西安市户县余下镇,电力,电力
